Time,Price,Trade Size,Type
16:56:15,1.55,1100,Sell Down
16:56:13,1.56,3000,Buy Up
16:56:12,1.56,900,Buy Up
16:56:11,1.56,500,Buy Up
16:56:08,1.56,300,Buy Up
16:56:08,1.56,3200,Buy Up
16:56:07,1.56,200,Buy Up
16:56:07,1.55,6000,Sell Down
16:56:06,1.55,1400,Sell Down
16:56:04,1.56,900,Buy Up
16:56:03,1.55,2400,Sell Down
16:56:02,1.55,3000,Sell Down
16:56:00,1.56,700,Buy Up
16:56:00,1.55,1300,Sell Down
16:56:00,1.56,1300,Buy Up
16:55:58,1.55,3700,Sell Down
16:55:58,1.55,900,Sell Down
16:55:58,1.55,1100,Sell Down
16:55:56,1.56,3300,Buy Up
16:55:56,1.56,400,Buy Up
16:55:56,1.55,100,Sell Down
16:55:56,1.55,300,Sell Down
16:55:53,1.56,4700,Buy Up
16:55:49,1.55,1200,Sell Down
16:55:49,1.55,1000,Sell Down
16:55:49,1.55,200,Sell Down
16:55:49,1.55,100,Sell Down
16:55:49,1.55,3900,Sell Down
16:55:44,1.56,300,Buy Up
16:55:41,1.55,4400,Sell Down
16:55:41,1.55,1100,Sell Down
16:55:35,1.55,600,Sell Down
16:55:35,1.55,100,Sell Down
16:55:35,1.55,2000,Sell Down
16:55:32,1.56,300,Buy Up
16:55:32,1.56,1100,Buy Up
16:55:31,1.55,700,Sell Down
16:55:31,1.55,3300,Sell Down
16:55:31,1.55,2000,Sell Down
16:55:29,1.56,2300,Buy Up
16:55:24,1.56,300,Buy Up
16:55:23,1.56,1300,Buy Up
16:55:23,1.56,8700,Buy Up
16:55:22,1.55,100,Sell Down
16:55:22,1.55,100,Sell Down
16:55:22,1.55,4200,Sell Down
16:55:22,1.55,1100,Sell Down
16:55:15,1.55,6200,Sell Down
16:55:13,1.56,400,Buy Up
16:55:12,1.55,300,Sell Down
16:55:12,1.55,1000,Sell Down
16:55:11,1.56,300,Buy Up
16:55:10,1.56,20000,Buy Up
16:55:08,1.55,3500,Sell Down
16:55:08,1.56,1300,Buy Up
16:55:05,1.56,8600,Buy Up
16:55:05,1.55,4600,Sell Down
16:55:05,1.55,1100,Sell Down
16:55:03,1.56,300,Buy Up
16:54:57,1.55,5900,Sell Down
16:54:54,1.56,3300,Buy Up
16:54:51,1.56,300,Buy Up
16:54:48,1.55,3300,Sell Down
16:54:48,1.55,1100,Sell Down
16:54:45,1.56,5600,Buy Up
16:54:43,1.56,1000,Buy Up
16:54:42,1.56,1100,Buy Up
16:54:40,1.56,4500,Buy Up
16:54:39,1.56,300,Buy Up
16:54:38,1.55,4500,Sell Down
16:54:36,1.55,100,Sell Down
16:54:36,1.56,4900,Buy Up
16:54:36,1.55,500,Sell Down
16:54:36,1.55,100,Sell Down
16:54:36,1.55,600,Sell Down
16:54:29,1.55,3500,Sell Down
16:54:29,1.55,2400,Sell Down
16:54:27,1.55,700,Sell Down
16:54:26,1.56,400,Buy Up
16:54:24,1.56,3700,Buy Up
16:54:22,1.56,3900,Buy Up
16:54:18,1.55,5900,Sell Down
16:54:18,1.56,5000,Buy Up
16:54:14,1.56,600,Buy Up
16:54:14,1.56,700,Buy Up
16:54:12,1.55,6400,Sell Down
16:54:10,1.56,400,Buy Up
16:54:10,1.56,300,Buy Up
16:54:03,1.55,4700,Sell Down
16:54:00,1.55,700,Sell Down
16:53:58,1.55,35300,Sell Down
16:53:54,1.56,5600,Buy Up
16:53:54,1.56,400,Buy Up
16:53:53,1.55,5600,Sell Down
16:53:52,1.56,1400,Buy Up
16:53:47,1.55,5000,Sell Down
16:53:44,1.55,3400,Sell Down
16:53:41,1.56,400,Buy Up
